i,d
b,i,o,i,d
d,a,t,e,_,o,f,_,b,i,r,t,h
951,R000556,1911-02-06
952,S000327,1905-09-03
953,S000378,1903-06-22
954,S000395,1921-04-11
955,S000408,1900-06-26
956,S000505,1913-11-14
957,S000775,1905-07-11
958,S000928,1930-04-20
959,T000237,1909-01-09
960,T000298,1901-05-02
961,V000051,1905-03-10
962,W000089,1900-02-10
963,W000226,1920-09-27
964,W000310,1904-12-14
965,W000439,1906-02-09
966,W000572,1906-04-18
967,W000641,1904-01-06
968,J000160,1908-08-27
969,B000223,1918-03-17
970,S000016,1925-06-14
971,A000204,1909-01-15
972,B000092,1915-06-28
973,B000108,1922-01-25
974,B000296,1913-06-30
975,C000054,1920-03-29
976,C000055,1927-04-02
977,C000067,1927-08-16
978,C000342,1907-09-22
979,C000516,1926-06-06
980,C000866,1927-11-17
981,C001005,1905-11-28
982,D000390,1907-05-15
983,D000588,1910-07-09
984,E000148,1926-06-11
985,F000023,1907-03-28
986,F000025,1916-04-11
987,G000208,1921-03-22
988,G000320,1907-12-26
989,G000348,1923-06-11
990,G000450,1931-05-07
991,G000454,1912-10-01
992,H000013,1914-10-08
993,H000173,1901-08-24
994,H000249,1903-12-20
995,H000310,1901-08-09
996,H001001,1917-08-11
997,J000098,1919-08-20
998,J000151,1939-12-27
999,J000246,1901-03-12
1000,K000114,1925-11-20
1001,K000130,1907-08-30
1002,K000199,1917-06-20
1003,K000326,1912-05-26
1004,L000326,1921-11-24
1005,L000458,1908-07-18
1006,M000022,1919-06-25
1007,M000026,1920-06-01
1008,M000182,1918-09-01
1009,M000253,1907-10-03
1010,M000311,1916-03-29
1011,M000418,1906-02-10
1012,M000459,1927-04-22
1013,M000610,1924-02-20
1014,M000836,1910-03-15
1015,M000995,1908-12-08
1016,M001092,1902-07-04
1017,O000015,1900-09-21
1018,O000084,1930-09-11
1019,P000552,1906-09-01
1020,R000003,1914-05-12
1021,R000107,1920-02-29
1022,R000282,1903-05-23
1023,R000404,1908-07-19
1024,R000426,1907-12-23
1025,R000525,1906-02-22
1026,S000128,1933-03-02
1027,S000131,1922-01-03
1028,S000184,1905-10-15
1029,S000219,1904-01-22
1030,S000243,1921-11-24
1031,S000401,1921-06-15
1032,S000782,1920-05-15
1033,S001103,1924-11-04
1034,T000178,1900-08-03
1035,T000218,1916-03-31
1036,T000294,1921-09-22
1037,T000297,1907-03-15
1038,T000411,1921-01-25
